sim_num,mse_mean_healthy,mse_mean_diseased,mse_std_healthy,mse_std_diseased,n_samples,simulation_time,ka0,kv0,ka1,kv1,n_features_selected_0,n_features_selected_1,cache_hit_rate_0,cache_hit_rate_1
21,0.007917937,0.23045203,0.0042428877,0.06574211,5000,0.840472936630249,100,100,5,100,1,1,0,0
22,0.07273195,1.6812779,0.004712753,0.51560026,5000,0.7303380966186523,30,100,10,50,1,1,0,0
23,0.058583446,0.34855667,0.0025535729,0.12176627,5000,0.730853796005249,100,100,10,50,1,1,0,0
24,0.005745652,0.49633926,0.0016546713,0.17986904,5000,0.7855937480926514,100,100,10,75,1,1,0,0
25,0.0067094383,0.36123648,0.010194313,0.1961575,5000,0.7602219581604004,75,100,10,100,1,1,0,0
26,0.015628865,0.23659843,0.006922055,0.03116836,5000,0.8199710845947266,100,50,5,50,1,1,0,0
27,0.06559356,0.49945766,0.020581815,0.3195001,5000,0.7767159938812256,50,100,10,10,1,1,0,0
28,0.020301655,0.7488267,0.0021327846,0.6906473,5000,0.8231737613677979,75,100,10,100,1,1,0,0
29,0.013180472,0.7967913,0.014258538,0.42148086,5000,0.7634949684143066,100,100,10,100,1,1,0,0
30,0.029299457,0.23091462,0.016936462,0.09961229,5000,0.6946060657501221,50,75,5,10,1,1,0,0
31,0.011143089,0.6166124,0.0143554965,0.08234452,5000,0.8147919178009033,100,100,5,100,1,1,0,0
32,0.011309395,0.21375972,0.02467424,0.080000184,5000,0.8213720321655273,100,20,5,30,1,1,0,0
33,0.018137006,0.6398427,0.0038205155,0.186766,5000,0.8080487251281738,75,75,10,100,1,1,0,0
34,0.016147254,0.40224943,0.00550895,0.1685134,5000,0.8292231559753418,100,100,10,75,1,1,0,0
35,0.05635703,0.35353538,0.013774081,0.08358254,5000,0.7982711791992188,75,50,10,50,1,1,0,0
36,0.0075452453,0.36490825,0.006088202,0.1377386,5000,0.8738141059875488,100,100,10,100,1,1,0,0
37,0.07096101,0.65948004,0.01340928,0.14283334,5000,0.8797779083251953,50,100,10,100,1,1,0,0
38,0.03905574,0.41695172,0.017567325,0.08951587,5000,0.809561014175415,30,50,5,75,1,1,0,0
39,0.015468533,0.30698362,0.008764168,0.09485206,5000,0.8111867904663086,100,75,10,100,1,1,0,0
40,0.03856365,0.21878636,0.021319931,0.05792067,5000,0.7854259014129639,20,30,5,100,1,1,0,0
41,0.06443806,0.40363008,0.0075575663,0.040446114,5000,0.7801709175109863,50,50,5,100,1,1,0,0
42,0.02922801,0.7925169,0.013867008,0.059748158,5000,0.8318331241607666,30,30,10,75,1,1,0,0
43,0.0044398163,0.2466874,0.0035093005,0.05186156,5000,0.8760490417480469,100,100,5,100,1,1,0,0
44,0.00886336,0.27276102,0.0057093194,0.049391896,5000,0.821652889251709,100,50,10,50,1,1,0,0
45,0.010817666,0.37363526,0.002476771,0.08487665,5000,0.9635183811187744,75,100,10,75,1,1,0,0
